Country,Locate,Latitude,Longitude,Year,Month,Day,Link,Image
England,Broad Hinton,51.483395,-1.853929,2023,5,28,http://cropcircleconnector.com/2023/broadhinton/broadhinton2023.html,http://cropcircleconnector.com/2023/broadhinton/abroadhinton2023reconstruction/broadhinton21.gif
Italy,Capriano del Colle,45.46733,10.13312,2023,5,30,http://cropcircleconnector.com/2023/Cascina/Cascina2023.html,http://cropcircleconnector.com/2023/Cascina/acascinasanmichele2023reconstruction/cascinasanmichele10.gif
England,Winterbourne Bassett,51.47039,-1.84122,2023,6,4,http://cropcircleconnector.com/2023/fieldbarn/FieldBarn2023.html,http://cropcircleconnector.com/2023/fieldbarn/DJI_20230604060316_0022_D.jpg
England,Potterne Hill,51.33101,-1.99812,2023,6,7,http://cropcircleconnector.com/2023/PotterneHill/PotterneHill2023a.html,http://cropcircleconnector.com/2023/PotterneHill/hugh08062023a.jpg
England,Roundway Down,51.39056,-1.97242,2023,6,11,http://cropcircleconnector.com/2023/RoundwayDown/RoundwayDown2023a.html,http://cropcircleconnector.com/2023/RoundwayDown/DJI_20230611072540_0114_D.jpg
England,Eastleigh Court,51.188639,-2.151639,2023,6,18,http://cropcircleconnector.com/2023/eastleigh/eastleigh2023a.html,http://cropcircleconnector.com/2023/eastleigh/DJI_20230618080436_0070_D.jpg
France,Saint Babel,45.58975,3.31876,2023,6,21,http://cropcircleconnector.com/2023/SaintBabel/SaintBabel2023a.html,http://cropcircleconnector.com/2023/SaintBabel/3560853572039277779.jpg
England,Nympsfield,51.698194,-2.300417,2023,6,24,http://cropcircleconnector.com/2023/hettypegler/hettypegler2023a.html,http://cropcircleconnector.com/2023/hettypegler/DJI_20230716081005_0065_D.jpg
England,Owlslebury,51.018106,-1.246406,2023,6,26,http://cropcircleconnector.com/2023/allankingway/allankingway2023a.html,http://cropcircleconnector.com/2023/allankingway/DJI_20230625073725_0006_D-2.jpg
England,Nr Winchester,51.126583,-1.256528,2023,7,4,http://cropcircleconnector.com/2023/chillandham1/chillandham2023a.html,http://cropcircleconnector.com/2023/chillandham1/DJI_20230703075616_0016_D-2.jpg
England,Nr Winchester,51.124611,-1.253944,2023,7,4,http://cropcircleconnector.com/2023/chillandham2/chillandham2023b.html,http://cropcircleconnector.com/2023/chillandham2/DJI_20230703080213_0029_D.jpg
England,Norton Bavant,51.191694,-2.1248806,2023,7,7,http://cropcircleconnector.com/2023/norton/norton2023a.html,http://cropcircleconnector.com/2023/norton/DJI_20230707074655_0089_D.jpg
England,Lane End,51.032195,-1.219558,2023,7,9,http://cropcircleconnector.com/2023/LaneEndDown/laneenddown.html,http://cropcircleconnector.com/2023/LaneEndDown/DJI_20230709081009_0338_D.jpg
England,Barton Stacey Belt,51.131249,-1.368246,2023,7,9,http://cropcircleconnector.com/2023/BartonStaceyBelt/BartonStaceyBelt2023.html,http://cropcircleconnector.com/2023/LaneEndDown/DJI_20230709072248_0294_D.jpg
England,Cakebole Lane,52.340750,-2.177056,2023,7,16,http://cropcircleconnector.com/2023/cakebole/cakebole2023.html,http://cropcircleconnector.com/2023/cakebole/UK20230716_A_G.jpg
England,Hatherden Lane,51.236224,-1.504065,2023,7,25,http://cropcircleconnector.com/2023/Charlton/Charlton2023a.html,http://cropcircleconnector.com/2023/Charlton/DJI_20230726061723_0257_D.jpg
England,Kitt's Lane,51.035110,-1.090227,2023,7,30,http://cropcircleconnector.com/2023/Charlton/Charlton2023a.html,http://cropcircleconnector.com/2023/KittsLane/DJI_20230730082504_0180_D-E.jpg
England,Combe Hill,51.25986,-2.13507,2023,7,30,http://cropcircleconnector.com/2023/combehill/combehill2023a.html,http://cropcircleconnector.com/2023/combehill/DJI_0707.jpg
England,Preston Grange,51.161556,-1.139500,2023,8,2,http://cropcircleconnector.com/2023/Preston/Preston2023a.html,http://cropcircleconnector.com/2023/Preston/DJI_20230807121510_0068_D.jpg
England,Wayland's Smithy,51.568194,-1.597361,2023,8,4,http://cropcircleconnector.com/2023/waylands/waylands2023a.html,http://cropcircleconnector.com/2023/waylands/DJI_20230804065102_0029_D.jpg
England,Cley Hill,51.204139,-2.225361,2023,8,10,http://cropcircleconnector.com/2023/cleyhill/cleyhill2023a.html,http://cropcircleconnector.com/2023/cleyhill/hugh23082023f.jpg
England,Roundway Hill,51.383111,-1.986639,2023,8,13,http://cropcircleconnector.com/2023/roundwayhill/roundwayhill2023a.html,http://cropcircleconnector.com/2023/roundwayhill/DJI_20230813071048_0015_D.jpg
England,Enmill Barn,51.052368,-1.380670,2022,4,24,http://cropcircleconnector.com/2022/enmill/enmill2022a.html,http://cropcircleconnector.com/2022/enmill/2.jpg
England,Little Down,51.296606,-1.558777,2022,5,22,http://cropcircleconnector.com/2022/littledown/littledown2022a.html,http://cropcircleconnector.com/2022/littledown/DJI_0765.jpg
France,Saint Denis en Bugey,45.95351,5.32031,2022,5,30,http://cropcircleconnector.com/2022/Bugey/Bugey2022a.html,http://cropcircleconnector.com/2022/Bugey/parismage0.jpg
England,Owl Horse,51.473667,-1.826167,2022,6,13,http://cropcircleconnector.com/2022/hackpen/hackpen2020a.html,http://cropcircleconnector.com/2022/hackpen/newman05062022c.jpg
England,Havkpen Hill White Horse,51.468833,-1.814167,2022,6,19,http://cropcircleconnector.com/2022/hackpenhill/hackpenhill2020a.html,http://cropcircleconnector.com/2022/hackpenhill/DJI_0032-HDR.jpg
England,Kiteland Cottagges,51.184545,-1.281239,2022,7,3,http://cropcircleconnector.com/2022/kitelands/kitelands2022a.html,http://cropcircleconnector.com/2022/kitelands/DJI_0805.jpg
